   1.3000000e+00   5.9809313e-03   6.7353400e-03   7.8196251e-03   9.5112991e-03   1.1072450e-02   1.2515810e-02   1.3851771e-02   1.5089103e-02   1.6235373e-02   1.7297218e-02   6.3873629e-03   9.2540589e-03   9.7171686e-03   1.2378183e-02   1.2640086e-02   1.4999970e-02   1.5173397e-02   1.7233106e-02   1.2219157e-02   1.2754665e-02   1.7023503e-02   7.1491257e-03
   1.4000000e+00   5.9250770e-03   6.6647665e-03   7.7248444e-03   9.3712727e-03   1.0882063e-02   1.2270885e-02   1.3548892e-02   1.4725487e-02   1.5808776e-02   1.6805855e-02   6.3272703e-03   9.1183814e-03   9.5735215e-03   1.2136643e-02   1.2392023e-02   1.4639292e-02   1.4806951e-02   1.6744430e-02   1.1981403e-02   1.2503640e-02   1.6543338e-02   7.0803820e-03
   1.5000000e+00   5.8704943e-03   6.5958937e-03   7.6325223e-03   9.2352654e-03   1.0697617e-02   1.2034176e-02   1.3256845e-02   1.4375650e-02   1.5399221e-02   1.6335104e-02   6.2685556e-03   8.9865833e-03   9.4340134e-03   1.1903184e-02   1.2152303e-02   1.4292254e-02   1.4454419e-02   1.6276220e-02   1.1751584e-02   1.2261081e-02   1.6083184e-02   7.0132483e-03
   1.6000000e+00   5.8170980e-03   6.5286072e-03   7.5424924e-03   9.1030014e-03   1.0518701e-02   1.1805105e-02   1.2974859e-02   1.4038596e-02   1.5005461e-02   1.5883437e-02   6.2111259e-03   8.8583992e-03   9.2983593e-03   1.1677240e-02   1.1920338e-02   1.3957871e-02   1.4114794e-02   1.5826961e-02   1.1529141e-02   1.2026389e-02   1.5641564e-02   6.9476137e-03
   1.7000000e+00   5.7648137e-03   6.4628074e-03   7.4546096e-03   8.9742398e-03   1.0344952e-02   1.1583167e-02   1.2702256e-02   1.3713455e-02   1.4626406e-02   1.5449516e-02   6.1549003e-03   8.7335972e-03   9.1663101e-03   1.1458312e-02   1.1695613e-02   1.3635285e-02   1.3787195e-02   1.5395325e-02   1.1313590e-02   1.1799040e-02   1.5217188e-02   6.8833823e-03
   1.8000000e+00   5.7135763e-03   6.3984068e-03   7.3687457e-03   8.8487682e-03   1.0176052e-02   1.1367915e-02   1.2438444e-02   1.3399459e-02   1.4261093e-02   1.5032161e-02   6.0998076e-03   8.6119728e-03   9.0376469e-03   1.1245965e-02   1.1477676e-02   1.3323736e-02   1.3470848e-02   1.4980144e-02   1.1104502e-02   1.1578574e-02   1.4808915e-02   6.8204700e-03
   1.9000000e+00   5.6633278e-03   6.3353273e-03   7.2847872e-03   8.7263981e-03   1.0011720e-02   1.1158954e-02   1.2182892e-02   1.3095927e-02   1.3908667e-02   1.4630326e-02   6.0457850e-03   8.4933445e-03   8.9121748e-03   1.1039809e-02   1.1266123e-02   1.3022549e-02   1.3165061e-02   1.4580377e-02   1.0901495e-02   1.1364582e-02   1.4415731e-02   6.7588024e-03
   2.0000000e+00   5.6140166e-03   6.2734994e-03   7.2026321e-03   8.6069608e-03   9.8517018e-03   1.0955930e-02   1.1935127e-02   1.2802248e-02   1.3568363e-02   1.4243071e-02   5.9927763e-03   8.3775498e-03   8.7897200e-03   1.0839496e-02   1.1060594e-02   1.2731122e-02   1.2869219e-02   1.4195094e-02   1.0704229e-02   1.1156698e-02   1.4036729e-02   6.6983131e-03
   2.1000000e+00   5.5655961e-03   6.2128604e-03   7.1221891e-03   8.4903046e-03   9.6957709e-03   1.0758523e-02   1.1694722e-02   1.2517873e-02   1.3239491e-02   1.3869550e-02   5.9549610e-03   8.2484717e-03   8.6868135e-03   1.0627544e-02   1.0878224e-02   1.2431691e-02   1.2600120e-02   1.3806727e-02   1.0478428e-02   1.0989751e-02   1.3602993e-02   6.7036607e-03
   2.2000000e+00   5.5180244e-03   6.1533535e-03   7.0433754e-03   8.3762922e-03   9.5437211e-03   1.0566445e-02   1.1461293e-02   1.2242303e-02   1.2921428e-02   1.3509000e-02   5.9033219e-03   8.1386058e-03   8.5692165e-03   1.0438874e-02   1.0682915e-02   1.2159201e-02   1.2321541e-02   1.3449068e-02   1.0293461e-02   1.0791336e-02   1.3254397e-02   6.6429985e-03
